3dr:type
naptan:Notes
naptan:PlusbusZoneRef
naptan:ShortCommonName
naptan:StopAreaCode
naptan:StopAreaCode
naptan:StopAreaType
naptan:Street
naptan:verified
nhd-shp:com_id
nhd-shp:fdate
nhd:com_id
nhd:fcode
nhd:fdate
nhd:ftype
nhd:gnis_id
nhd:reach_code
nvdb:date
nvdb:id
operator:MNC
ref:De_Lijn
ref:FR:CEF
ref:FR:FANTOIR
ref:FR:FANTOIR:right
ref:FR:FINESS
ref:FR:LaPoste
ref:FR:NAF
ref:FR:RTE
ref:FR:SIREN
ref:FR:SIRET
ref:FR:prix-carburants
ref:IFOPT
ref:INSEE
ref:ISTAT
ref:TECL
ref:TECX
ref:UAI
ref:UrbIS
ref:ar
ref:at:gkz
ref:bag
ref:bufa
ref:isil
ref:mhs
ref:miabldg
ref:nid
ref:penndot
ref:ruian
ref:ruian:addr
ref:ruian:building
ref:ruian:street
ref:sandre
ref:se:pts:postort
ref:se:scb
ref:vatin
ref:whc
ref:zsj
restriction:hgv
route_ref:De_Lijn
school:FR
source:en
source:geometry
source:geometry:date
source:ja
source:loc
source:maxspeed
source:name
source:name:br
source:position
source:postcode
source:ref
teryt:simc
teryt:terc
tiger:PLACENS
tiger:cfcc
tiger:county
tiger:name_base
tiger:name_base_1
tiger:name_base_2
tiger:name_base_3
tiger:name_base_4
tiger:name_direction_prefix
tiger:name_direction_prefix_1
tiger:name_direction_prefix_2
tiger:name_direction_prefix_3
tiger:name_direction_suffix
tiger:name_direction_suffix_1
tiger:name_direction_suffix_2
tiger:name_direction_suffix_3
tiger:name_type
tiger:name_type_1
tiger:name_type_2
tiger:name_type_3
tiger:name_type_4
tiger:reviewed
tiger:separated
tiger:source
tiger:tlid
tiger:upload_uuid
tiger:zip_left
tiger:zip_left_1
tiger:zip_right
tiger:zip_right_1
type:FR:FINESS
uic_name
uic_ref
uir_adr:ADRESA_KOD
yh:LINE_NAME
yh:LINE_NUM
yh:STRUCTURE
yh:TOTYUMONO
yh:TYPE
yh:WIDTH
yh:WIDTH_RANK
zone:De_Lijn
zone:TEC
naturbase:iid
navibot:categorize
navibot:connect
navigationaid
ncat
ncn
ncn_milepost
ncn_ref
nat_name
nat_ref
naptan:AltIndicator
naptan:AltStreet
osmarender:nameDirection
osmarender:renderName
osmarender:renderRef
osmc:status
osmc:symbol
raba:id
ref_name
ref:at:okz
ref:bic
ref:cobe
ref:colour
ref:edubase
ref:ERDF:gdo
ref:FR:commune
ref:FR:FANTOIR:left
ref:FR:MemorialGenWeb
ref:FR:RTE_nom
ref:kmb
ref:lor
ref:rce
ref:shop:num
ref:svhl
ref:taskey
ref:TECB
ref:TECH
ref:TECN
RLIS:bicycle
route_ref:TECB
route_ref:TECH
route_ref:TECL
route_ref:TECN
route_ref:TECX
tiger:name_base_5
tiger:name_direction_prefix_4
tiger:name_direction_suffix_4
TODO
todo
USGS-LULC:CNTYNAME
USGS-LULC:LEVEL_I
USGS-LULC:LEVEL_II
USGS-LULC:STATECTY
VRS:ref
WroclawGIS:addr:date
WroclawGIS:addr:id
WroclawGIS:addr:layer
WroclawGIS:addr:postcode:id
WroclawGIS:addr:postcode:layer
WroclawGIS:building:ID
