true,telescope:diameter,string,103,489,160
true,impromptu,string,194,1314,4
true,contact:youtube,string,300,4456,556
true,contact:vk,string,320,15283,4226
true,ref,string,85133,10604885,1973534
true,level,string,16293,506914,1590
true,grande_circulation,string,41,2273,1
true,contact:phone,string,12974,244909,217086
true,ticks,string,73,1020,22
true,historic:civilization,string,1560,9691,370
true,tourism,string,141599,1741381,1579
true,residential,string,3657,281163,177
true,tram,string,2252,57390,24
true,wikidata,string,18364,1115655,911126
true,name:nov,string,112,425,257
true,addr:street:de,string,408,93740,3258
true,oneway:bicycle,string,6239,80912,15
true,animal_boarding,string,333,544,43
true,supervised,string,21458,167560,135
true,indoor_seating,string,254,572,4
true,voltage:secondary,string,91,6646,79
true,addr:city:it,string,471,117533,155
true,official_ref,string,507,19607,2960
true,loading_gauge,string,368,44338,34
true,fire_hydrant:housenumber,string,291,26184,2610
true,fire_hydrant:street,string,306,28019,6057
true,piste:type,string,6109,161637,119
true,furniture,string,258,650,104
true,name:eo,string,997,9303,3784
true,roof:height,string,2883,189795,1665
true,aeroway,string,15955,400612,274
true,lunch,string,198,635,51
true,salt,string,526,12455,3
true,note:ja,string,3468,619870,646
true,stop,string,1077,16338,152
true,recycling:scrap_metal,string,3938,10292,3
true,seamark:conspicuity,string,42,486,3
true,operator:ja,string,737,56952,357
true,seamark:buoy_special_purpose:colour,string,259,7171,33
true,seamark:buoy_special_purpose:shape,string,249,7025,11
true,smokefree,string,55,73,2
true,status,string,1282,46590,326
true,seamark:beacon_special_purpose:colour,string,155,6088,46
true,rental,string,639,2507,171
true,socket:tesla_supercharger,string,102,436,19
true,name:fr,string,14306,376223,232289
true,year_of_construction,string,642,9796,1117
true,railway:signal:speed_limit_distant,string,164,8185,30
true,hour_off,string,816,2290,183
true,name:pronunciation,string,61,1626,163
true,hgv,string,13965,529373,145
true,is_in:village,string,988,79505,20670
true,feeding:type,string,78,610,35
true,building:place,string,63,51430,4
true,second_hand,string,3422,11203,34
true,royal_cypher,string,384,22837,28
true,seamark:light:exhibition,string,92,1590,7
true,seamark:buoy_cardinal:category,string,174,7569,4
true,lines,string,615,6316,1462
true,USGS-LULC:STATECTY,string,236,14437,147
true,loc_ref,string,2669,95880,38359
true,bike_ride,string,174,1453,15
true,maintenance,string,591,34312,47
true,place:PH,string,44,4257,15
true,plant:output,string,44,54,47
true,fuel:octane_100,string,1643,3712,6
true,animated,string,137,1645,15
true,topmark:colour,string,65,974,9
true,addr:street:en,string,222,165730,3392
true,mapillary,string,633,18825,16576
true,unsigned,string,115,1653,5
true,seamark:type,string,4104,340370,102
true,is_in:city,string,4734,233443,3537
true,rednap:latitud,string,240,26212,25998
true,floor:material,string,243,9307,36
true,seamark:buoy_lateral:shape,string,416,39500,8
true,url,string,8457,342203,185629
true,destination:ref,string,3133,144377,20561
true,ref:TECB,string,56,3602,3599
true,depth,string,1361,16931,1480
true,bridge:name,string,1820,24180,15194
true,beacon:colour,string,101,1379,18
true,unisex,string,5373,24596,12
true,diet:vegetarian,string,1614,8059,12
true,railway:signal:combined,string,142,6154,15
true,airmark,string,219,2123,11
true,air_conditioning,string,123,684,3
true,motorboat,string,1968,25203,16
true,musical_instrument,string,82,121,25
true,ref:colour,string,273,8268,76
true,osmarender:renderRef,string,45,219,3
true,placement,string,2444,100328,50
true,male,string,3567,21630,31
true,osmarender:renderName,string,94,379,6
true,xmas:feature,string,407,1751,12
true,scuba_diving:type,string,49,113,37
true,healthcare,string,11593,60331,279
true,beacon:frequency,string,142,1261,711
true,flag:type,string,299,2608,96
true,building:condition,string,806,161809,86
true,unsigned_ref,string,1337,53417,4018
true,fair_trade,string,484,1097,75
true,diet:lactose_free,string,71,115,4
true,date_on,string,214,631,137
true,golf:course,string,636,2745,31
true,automatic_door,string,302,1260,8
true,memorial:type,string,1293,23365,107
true,camp_type,string,42,448,9
true,traffic_island,string,47,685,9
true,resource,string,2327,27143,454
true,hunting,string,174,2964,11
true,maritime,string,454,8429,6
true,fuel,string,1800,4771,124
true,url:miserend,string,177,4128,4125
true,waste,string,1663,15581,219
true,health_facility:type,string,1581,11055,101
true,golf_cart,string,251,8980,11
true,door,string,735,42970,69
true,bulk_purchase,string,61,575,5
true,building:height,string,1979,58152,3613
true,min_age,string,1214,5519,154
true,service:bicycle:retail,string,2360,5600,6
true,faces,string,341,3934,9
true,leaf_cycle,string,9835,1049656,46
true,addr:country,string,55972,25468058,528
true,name,string,576558,62741123,22133905
true,format,string,342,6652,50
true,cycleway:left,string,6168,52135,87
true,plant,string,464,1940,89
true,phases,string,334,9183,58
true,capital,string,970,16220,91
true,name:left,string,2216,25302,8454
true,service:bicycle:pump,string,1104,2745,8
true,product,string,1628,29424,1309
true,informal,string,515,3344,7
true,seamark:buoy_isolated_danger:shape,string,45,432,7
true,fire_hydrant:count,string,444,5371,166
true,telescope:type,string,192,808,19
true,parking:lane:left,string,3118,34676,74
true,wikimedia_commons,string,672,7479,6578
true,ski,string,6842,44726,31
